Gift Item,Price,Need,Want,Category
Sokkies,250,9,4,Apparel
Tall Laptop stand,300,6,7,Tech
A60 Smart Bulbs (2x),300,7,3,Tech
High Capacity USB Flash Drive (256GB),320,8,8,Tech
Steam Gift Card,500,5,5,Entertainment
GU10 Smart Bulbs (4x),500,3,2,Tech
LEGO® Minecraft® The Fox (21588),860,4,5,Entertainment
LEGO® Technic NASA Artemis Space Launch System Rocket (42221),1150,2,4,Entertainment
IFixit Toolkit,1200,4,1,Tools
LEGO® Technic NASA Mars Rover Perseverance (42158),1800,2,3,Entertainment
Rolfie Service,2000,10,7,Rolfie
New Balance Fresh Foam 860 v14,3200,8,10,Apparel
Rolfie Exhaust,3200,3,9,Rolfie
LEGO® ART The Milky Way Galaxy (31212),3800,5,8,Entertainment
LEGO® Star Wars™ Jango Fett's Firespray-Class Starship (75409),6000,1,6,Entertainment
Nuwe Foon Bydrae,7000,3,6,Tech
LEGO® Star Wars™ Millennium Falcon (75192),16300,1,10,Entertainment
Rolfie Full Body+Interior Restoration,30000,6,9,Rolfie
Clear Dental Aligner Resin 1L,3000,9,9,Health
